name,member,description,model,batch,imgsz,mosaic,optimizer,final_epoch,best_epoch,convergence_epoch_95,duration_seconds,warning_count,final_precision,best_epoch_precision,best_precision,last10_std_precision,final_recall,best_epoch_recall,best_recall,last10_std_recall,final_map50,best_epoch_map50,best_map50,last10_std_map50,final_map50_95,best_epoch_map50_95,best_map50_95,last10_std_map50_95
finetune1,,,yolov8n.pt,32,640,0.0,auto,100,75,19,5855.41,1,0.90961,0.90762,0.90961,0.0006579886017249988,0.8355,0.83498,0.83684,0.0004547185942976146,0.88337,0.88378,0.88388,0.0001397461985171575,0.53988,0.54243,0.54243,0.00019610201426808582
finetune2,,,yolov8n.pt,32,800,0.0,auto,100,85,15,7246.57,1,0.91051,0.91098,0.91249,0.00027265546024240534,0.85209,0.85082,0.85209,0.0004648881585930006,0.89545,0.89578,0.89642,0.0001044988038209182,0.55846,0.55951,0.55951,0.00012833160171992416
finetune3,,,yolov8n.pt,16,640,0.0,auto,100,90,18,7506.8,0,0.90861,0.90842,0.9096,0.00042133122362340776,0.83649,0.837,0.83787,0.0004224322430875818,0.88425,0.88469,0.88501,0.0002491365087657959,0.54186,0.54324,0.54324,0.0004973489720507989
