epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,86.5576,1.78868,1.44985,1.24964,0.78704,0.68033,0.7213,0.39015,1.59691,inf,1.1094,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,152.175,1.57102,0.84154,1.10341,0.83153,0.73862,0.79062,0.43309,1.52599,inf,1.06375,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,210.085,1.56553,0.81773,1.08979,0.80648,0.71675,0.76651,0.42095,1.52938,inf,1.07409,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,268.013,1.53939,0.79501,1.07722,0.84282,0.74038,0.79206,0.44914,1.47809,inf,1.05155,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,329.123,1.49611,0.75607,1.06082,0.85172,0.76383,0.81756,0.46754,1.45014,inf,1.02762,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,387.389,1.47751,0.73472,1.05005,0.86768,0.76461,0.814,0.47593,1.42867,inf,1.03294,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,446.478,1.46158,0.7177,1.04329,0.86927,0.77051,0.82586,0.48133,1.42362,inf,1.02571,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,508.15,1.44265,0.70209,1.03767,0.86708,0.76819,0.82704,0.48463,1.42003,inf,1.01586,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,568.884,1.4371,0.69521,1.0344,0.87385,0.78048,0.83696,0.49205,1.40126,inf,1.01027,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,628.169,1.42585,0.68708,1.02707,0.87993,0.79155,0.83854,0.49707,1.39374,inf,1.00856,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,686.129,1.42119,0.67823,1.02345,0.87552,0.77926,0.82976,0.49154,1.40071,inf,1.01252,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,745.957,1.41674,0.67404,1.02103,0.87958,0.79293,0.84239,0.49935,1.39396,inf,1.00644,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,807.34,1.40828,0.66901,1.01878,0.8806,0.78935,0.84231,0.50295,1.38216,inf,1.00022,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,868.74,1.40421,0.66532,1.01506,0.88833,0.79556,0.85071,0.50559,1.37542,inf,0.99633,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,926.432,1.40058,0.66014,1.0127,0.8855,0.8034,0.85564,0.51121,1.36972,inf,0.99232,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,985.659,1.39592,0.65667,1.01102,0.88591,0.80425,0.85568,0.51211,1.36981,inf,0.99108,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1040.92,1.39459,0.65293,1.00883,0.89184,0.80207,0.85726,0.51337,1.3641,inf,0.9921,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1097.08,1.39002,0.6498,1.00781,0.88847,0.79804,0.85178,0.51086,1.3669,inf,0.99476,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1155.34,1.38586,0.64635,1.00686,0.89152,0.80883,0.85941,0.51712,1.35899,inf,0.98783,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1211.78,1.38248,0.6438,1.00533,0.89195,0.81287,0.85919,0.5157,1.35954,inf,0.98896,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
