epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,1267.74,1.38119,0.63992,1.00284,0.89082,0.81231,0.8655,0.51785,1.35846,inf,0.98619,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1325.58,1.37699,0.63608,1.00153,0.89238,0.81025,0.85896,0.52045,1.34904,inf,0.98371,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1383.47,1.37623,0.63553,1.00046,0.89541,0.81036,0.86432,0.52114,1.34902,inf,0.9837,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1440.68,1.37462,0.63314,1.00125,0.8919,0.8144,0.86544,0.52135,1.35022,inf,0.98277,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1498.48,1.37312,0.63149,0.99773,0.89399,0.814,0.86606,0.52253,1.34899,inf,0.98357,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1557.69,1.36804,0.62784,0.99784,0.89599,0.81779,0.86871,0.52504,1.34508,inf,0.98131,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1614.86,1.36604,0.62658,0.99598,0.89699,0.81315,0.86772,0.52443,1.34433,inf,0.97649,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1674.08,1.36644,0.62631,0.99486,0.89637,0.81969,0.86929,0.52604,1.3428,inf,0.97894,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1733.14,1.36417,0.62365,0.99526,0.8946,0.81614,0.86608,0.52443,1.34249,inf,0.97975,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1788.51,1.36149,0.62071,0.99365,0.89663,0.81905,0.8693,0.52573,1.34217,inf,0.97981,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1844.97,1.36038,0.62059,0.99178,0.896,0.82515,0.87115,0.5301,1.33652,inf,0.97608,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1902.28,1.35784,0.61782,0.9934,0.90156,0.8192,0.87179,0.53003,1.3381,inf,0.97674,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1959.56,1.35458,0.61397,0.99137,0.89959,0.8204,0.87093,0.52915,1.33981,inf,0.97827,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2016.68,1.35747,0.61577,0.99285,0.90138,0.82279,0.87255,0.53186,1.33175,inf,0.97455,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2072.75,1.35591,0.61492,0.9901,0.89813,0.82149,0.87236,0.53114,1.33557,inf,0.97419,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2129.27,1.34913,0.61155,0.98859,0.90014,0.82517,0.87386,0.53199,1.33158,inf,0.97248,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2185,1.35079,0.61113,0.9883,0.89977,0.82282,0.87293,0.53254,1.33459,inf,0.97293,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2243.31,1.34901,0.60868,0.98672,0.89922,0.82108,0.8772,0.53171,1.33163,inf,0.97276,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2300.28,1.34825,0.60737,0.98756,0.90093,0.82512,0.87946,0.5328,1.33522,inf,0.97289,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2358.45,1.34546,0.60561,0.98725,0.90045,0.82707,0.87673,0.53354,1.32997,inf,0.97135,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2416.38,1.34541,0.60475,0.98689,0.90382,0.82483,0.87302,0.53377,1.3286,inf,0.97135,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2470.79,1.34459,0.6023,0.98661,0.89974,0.82724,0.8772,0.53378,1.32877,inf,0.97115,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2528.05,1.34507,0.60208,0.98506,0.90291,0.82593,0.87844,0.53477,1.32476,inf,0.96952,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2585.12,1.34231,0.59993,0.98618,0.90101,0.82826,0.88025,0.53625,1.3243,inf,0.96982,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2644.23,1.34162,0.60027,0.98524,0.90311,0.82567,0.87992,0.53588,1.32393,inf,0.96995,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2702.26,1.34159,0.59911,0.98473,0.90096,0.82993,0.87992,0.53686,1.32277,inf,0.96843,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2762.74,1.33817,0.59707,0.9836,0.90352,0.82913,0.87929,0.53553,1.32525,inf,0.97032,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2822.46,1.33914,0.59684,0.98363,0.90266,0.82932,0.87961,0.53683,1.32193,inf,0.96854,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2880,1.336,0.5953,0.98238,0.90298,0.83156,0.88171,0.53719,1.32177,inf,0.9689,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2938.05,1.33715,0.59404,0.9833,0.90334,0.82767,0.87924,0.5359,1.32372,inf,0.9713,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2997.08,1.33337,0.59198,0.9814,0.90321,0.83408,0.88251,0.53885,1.32268,inf,0.9696,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3055.65,1.33614,0.59211,0.98117,0.90514,0.8334,0.88259,0.53949,1.31947,inf,0.96878,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3114.65,1.33095,0.58978,0.98275,0.90415,0.83258,0.883,0.5388,1.31981,inf,0.96909,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3171.57,1.33191,0.58916,0.98179,0.90437,0.83242,0.88139,0.53841,1.3174,inf,0.96882,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3232.24,1.32817,0.58679,0.98177,0.90453,0.83314,0.88281,0.53947,1.31798,inf,0.96847,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3290.29,1.32798,0.58674,0.98093,0.90447,0.83223,0.88221,0.53911,1.32132,inf,0.9693,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3345.69,1.32588,0.58555,0.98026,0.90545,0.83166,0.88205,0.53913,1.31853,inf,0.96794,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3403.14,1.32581,0.58479,0.97882,0.90518,0.83589,0.88345,0.54021,1.31846,inf,0.9681,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3460.96,1.32382,0.58323,0.97928,0.90507,0.83475,0.8833,0.54075,1.31866,inf,0.96792,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3516.15,1.3257,0.58338,0.97848,0.9056,0.83374,0.88251,0.54048,1.31745,inf,0.96755,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3572.24,1.32266,0.5819,0.97848,0.90479,0.83546,0.88351,0.54208,1.31777,inf,0.96738,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3629.45,1.32376,0.5815,0.97889,0.90674,0.83277,0.88269,0.54018,1.31736,inf,0.96738,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3686.19,1.32176,0.58038,0.97745,0.90706,0.83255,0.88332,0.54138,1.31761,inf,0.96775,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3743.71,1.31849,0.57788,0.97827,0.9058,0.83542,0.88369,0.54098,1.31867,inf,0.96846,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3798.26,1.31742,0.57761,0.97631,0.90577,0.8351,0.8823,0.5403,1.31812,inf,0.96798,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3860.53,1.31831,0.57787,0.97692,0.90655,0.83361,0.88256,0.54082,1.31827,inf,0.96828,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3921.11,1.31792,0.5768,0.97666,0.9075,0.83201,0.8824,0.54041,1.31736,inf,0.96801,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3978.31,1.31606,0.57605,0.97514,0.90766,0.83436,0.88388,0.54169,1.31712,inf,0.96757,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4036.52,1.31606,0.57442,0.97575,0.90638,0.83488,0.88292,0.54139,1.31731,inf,0.96796,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4094.91,1.31375,0.57217,0.97715,0.90587,0.83615,0.88291,0.54089,1.31772,inf,0.96797,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4152.66,1.31323,0.57196,0.97565,0.90554,0.8368,0.88291,0.54232,1.31688,inf,0.96738,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4210.72,1.3128,0.57148,0.97502,0.90679,0.83554,0.88332,0.54123,1.31703,inf,0.96745,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4268.06,1.31387,0.5719,0.97269,0.90676,0.83565,0.88342,0.54203,1.31766,inf,0.96764,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4326.22,1.31178,0.57002,0.97491,0.90598,0.83577,0.88371,0.54178,1.3175,inf,0.96802,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4385.56,1.30949,0.56916,0.97371,0.90762,0.83498,0.88378,0.54243,1.31723,inf,0.9679,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4444.77,1.30832,0.56835,0.97282,0.90705,0.83438,0.88375,0.54222,1.31726,inf,0.96749,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4504.05,1.30573,0.56614,0.97071,0.9056,0.83637,0.88362,0.54123,1.318,inf,0.96787,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4561.99,1.30598,0.56598,0.97318,0.90755,0.83483,0.88262,0.5412,1.31755,inf,0.96788,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4617.93,1.30643,0.56529,0.97295,0.90745,0.83555,0.88241,0.54105,1.31799,inf,0.96808,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4674.9,1.30355,0.56418,0.97051,0.90764,0.8357,0.88279,0.54086,1.3182,inf,0.96826,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4734.04,1.30329,0.56291,0.97212,0.90819,0.83574,0.88319,0.54115,1.31811,inf,0.96828,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4793.75,1.30341,0.56217,0.97083,0.90708,0.8361,0.88321,0.54101,1.31827,inf,0.96831,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4850.64,1.30092,0.56214,0.96933,0.90731,0.83547,0.88327,0.54079,1.31838,inf,0.96819,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4905.61,1.30051,0.56137,0.97015,0.90758,0.83469,0.8831,0.54082,1.31807,inf,0.96837,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4964.14,1.29982,0.56015,0.96795,0.90704,0.83559,0.88307,0.54106,1.31808,inf,0.96809,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5021.75,1.29725,0.55893,0.96897,0.90808,0.83471,0.8829,0.54093,1.31841,inf,0.96814,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5077.81,1.29544,0.55757,0.9696,0.90716,0.83607,0.88293,0.54056,1.31891,inf,0.96838,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5137.24,1.29615,0.55695,0.97006,0.90712,0.83649,0.88307,0.5411,1.31903,inf,0.96839,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5195.04,1.29494,0.55638,0.96806,0.90713,0.83639,0.88303,0.54052,1.31907,inf,0.96844,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5255.48,1.29173,0.5541,0.96667,0.90765,0.83646,0.88296,0.54045,1.31932,inf,0.96852,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,5321.74,1.2938,0.5551,0.96695,0.90808,0.83575,0.88295,0.5403,1.3198,inf,0.96869,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5382.17,1.29398,0.55454,0.96567,0.90822,0.83602,0.88314,0.54028,1.32063,inf,0.96885,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5441.06,1.29116,0.55289,0.96671,0.90796,0.83651,0.88328,0.54051,1.3209,inf,0.96872,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5501.16,1.28994,0.55209,0.96588,0.90774,0.83684,0.88342,0.54039,1.32087,inf,0.96866,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5559.52,1.28921,0.55113,0.96617,0.90779,0.83649,0.88342,0.54016,1.32107,inf,0.96872,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5619.37,1.28778,0.55057,0.9652,0.90764,0.83672,0.88334,0.54044,1.32134,inf,0.96898,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5676.94,1.28538,0.54896,0.96498,0.90823,0.83667,0.88339,0.54041,1.32113,inf,0.96887,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5733.62,1.2842,0.54751,0.96396,0.90868,0.8361,0.88335,0.54013,1.32129,inf,0.96898,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,5793.08,1.28661,0.5484,0.96529,0.90944,0.83569,0.88333,0.53998,1.32165,inf,0.96916,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,5855.41,1.28406,0.54719,0.96542,0.90961,0.8355,0.88337,0.53988,1.32197,inf,0.96929,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
