epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,124.998,1.75832,1.32457,1.22924,0.7986,0.70535,0.7556,0.41141,1.5329,0.8624,1.07756,0.00998054,0.00332685,0.00998054,0.00332685,0.00998054,0.00332685,0.00998054,0.00332685
2,216.292,1.57248,0.84217,1.1003,0.81799,0.73488,0.77589,0.43249,1.50243,0.80388,1.06029,0.0197827,0.00659425,0.0197827,0.00659425,0.0197827,0.00659425,0.0197827,0.00659425
3,294.918,1.56493,0.82004,1.08953,0.81952,0.71904,0.77361,0.42301,1.52731,0.79459,1.07373,0.0293869,0.00979564,0.0293869,0.00979564,0.0293869,0.00979564,0.0293869,0.00979564
4,369.49,1.53815,0.79348,1.0763,0.84015,0.73367,0.78674,0.44969,1.47148,0.76022,1.04973,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,443.917,1.50065,0.75924,1.06062,0.84315,0.75322,0.80395,0.46524,1.43858,0.72993,1.03101,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,519.822,1.47855,0.73708,1.04933,0.86725,0.77166,0.82296,0.48213,1.41018,0.68818,1.0195,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,595.125,1.46848,0.7229,1.04182,0.87144,0.76768,0.82428,0.48154,1.41658,0.6847,1.02414,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,669.32,1.44819,0.70592,1.03749,0.87347,0.78255,0.83686,0.49135,1.40593,0.67421,1.01663,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,744.296,1.44214,0.69883,1.03414,0.87274,0.78967,0.83866,0.49573,1.39641,0.66091,1.01117,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,818.943,1.43035,0.69012,1.02641,0.87261,0.78485,0.83879,0.49361,1.39951,0.66163,1.01093,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,893.743,1.42581,0.68283,1.02476,0.88103,0.79019,0.84296,0.5003,1.3834,0.65244,1.00559,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
